Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO
Boston Bruins,28.5,82,45,27,10,100,.610,268,247,0.31,0.04,3.27,3.01,55,235,23.40,64,278,76.98,2,9,2216,12.1,2435,.899,101.9,3
League Average,28.9,82,41,31,10,92,.562,253,253,,,,,50,236,21.11,50,236,78.89,6,6,2282,11.1,2282,.889,,4
