Year,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Playoffs,Coaches,Division,Conference
2013,NHL,Montreal Canadiens*,82,46,28,,8,100,.610,0.08,-0.05,3rd of 8,Lost NHL Conference Finals,M. Therrien (46-28-8),Atlantic,Eastern
2012,NHL,Montreal Canadiens*,48,29,14,,5,63,.656,0.46,-0.02,1st of 5,Lost NHL Conference Quarter-Finals,M. Therrien (29-14-5),Northeast,Eastern
2011,NHL,Montreal Canadiens,82,31,35,,16,78,.476,-0.17,0.00,5th of 5,,J. Martin (13-12-7) R. Cunneyworth (18-23-9),Northeast,Eastern
2010,NHL,Montreal Canadiens*,82,44,30,,8,96,.585,0.05,-0.04,2nd of 5,Lost NHL Conference Quarter-Finals,J. Martin (44-30-8),Northeast,Eastern
2009,NHL,Montreal Canadiens*,82,39,33,,10,88,.537,-0.14,-0.07,4th of 5,Lost NHL Conference Finals,J. Martin (39-33-10),Northeast,Eastern
2008,NHL,Montreal Canadiens*,82,41,30,,11,93,.567,0.02,-0.01,2nd of 5,Lost NHL Conference Quarter-Finals,G. Carbonneau (35-24-7) B. Gainey (6-6-4),Northeast,Eastern
2007,NHL,Montreal Canadiens*,82,47,25,,10,104,.634,0.35,-0.14,1st of 5,Lost NHL Conference Semi-Finals,G. Carbonneau (47-25-10),Northeast,Eastern
2006,NHL,Montreal Canadiens,82,42,34,,6,90,.549,-0.21,-0.08,4th of 5,,G. Carbonneau (42-34-6),Northeast,Eastern
2005,NHL,Montreal Canadiens*,82,42,31,,9,93,.567,-0.01,0.04,3rd of 5,Lost NHL Conference Quarter-Finals,C. Julien (19-16-6) B. Gainey (23-15-3),Northeast,Eastern
2003,NHL,Montreal Canadiens*,82,41,30,7,4,93,.567,0.23,0.04,4th of 5,Lost NHL Conference Semi-Finals,C. Julien (41-30-7-4),Northeast,Eastern
2002,NHL,Montreal Canadiens,82,30,35,8,9,77,.470,-0.39,-0.05,4th of 5,,M. Therrien (18-19-5-4) C. Julien (12-16-3-5),Northeast,Eastern
2001,NHL,Montreal Canadiens*,82,36,31,12,3,87,.530,-0.10,-0.08,4th of 5,Lost NHL Conference Semi-Finals,M. Therrien (36-31-12-3),Northeast,Eastern
2000,NHL,Montreal Canadiens,82,28,40,8,6,70,.427,-0.35,-0.03,5th of 5,,A. Vigneault (5-13-2-0) M. Therrien (23-27-6-6),Northeast,Eastern
1999,NHL,Montreal Canadiens,82,35,34,9,4,83,.506,-0.06,-0.09,4th of 5,,A. Vigneault (35-34-9-4),Northeast,Eastern
1998,NHL,Montreal Canadiens,82,32,39,11,,75,.457,-0.26,0.05,5th of 5,,A. Vigneault (32-39-11),Northeast,Eastern
1997,NHL,Montreal Canadiens*,82,37,32,13,,87,.530,0.33,0.00,4th of 6,Lost NHL Conference Semi-Finals,A. Vigneault (37-32-13),Northeast,Eastern
1996,NHL,Montreal Canadiens*,82,31,36,15,,77,.470,-0.34,-0.01,4th of 6,Lost NHL Conference Quarter-Finals,M. Tremblay (31-36-15),Northeast,Eastern
1995,NHL,Montreal Canadiens*,82,40,32,10,,90,.549,0.20,-0.01,3rd of 6,Lost NHL Conference Quarter-Finals,J. Demers (0-4-0) J. Laperrière (0-1-0) M. Tremblay (40-27-10),Northeast,Eastern
1994,NHL,Montreal Canadiens,48,18,23,7,,43,.448,-0.42,0.06,6th of 7,,J. Demers (18-23-7),Northeast,Eastern
1993,NHL,Montreal Canadiens*,84,41,29,14,,96,.571,0.39,-0.03,3rd of 7,Lost NHL Conference Quarter-Finals,J. Demers (41-29-14),Northeast,Eastern
1992,NHL,Montreal Canadiens*,84,48,30,6,,102,.607,0.49,-0.06,3rd of 6,Won Stanley Cup Final,J. Demers (48-30-6),Adams,Prince of Wales
1991,NHL,Montreal Canadiens*,80,41,28,11,,93,.581,0.64,-0.12,1st of 5,Lost NHL Division Finals,P. Burns (41-28-11),Adams,Prince of Wales
1990,NHL,Montreal Canadiens*,80,39,30,11,,89,.556,0.20,-0.10,2nd of 5,Lost NHL Division Finals,P. Burns (39-30-11),Adams,Prince of Wales
1989,NHL,Montreal Canadiens*,80,41,28,11,,93,.581,0.60,-0.07,3rd of 5,Lost NHL Division Finals,P. Burns (41-28-11),Adams,Prince of Wales
1988,NHL,Montreal Canadiens*,80,53,18,9,,115,.719,1.16,-0.06,1st of 5,Lost Stanley Cup Final,P. Burns (53-18-9),Adams,Prince of Wales
1987,NHL,Montreal Canadiens*,80,45,22,13,,103,.644,0.71,-0.04,1st of 5,Lost NHL Division Finals,J. Perron (45-22-13),Adams,Prince of Wales
1986,NHL,Montreal Canadiens*,80,41,29,10,,92,.575,0.45,0.00,2nd of 5,Lost NHL Conference Finals,J. Perron (41-29-10),Adams,Prince of Wales
1985,NHL,Montreal Canadiens*,80,40,33,7,,87,.544,0.70,0.08,2nd of 5,Won Stanley Cup Final,J. Perron (40-33-7),Adams,Prince of Wales
1984,NHL,Montreal Canadiens*,80,41,27,12,,94,.588,0.64,0.05,1st of 5,Lost NHL Division Finals,J. Lemaire (41-27-12),Adams,Prince of Wales
1983,NHL,Montreal Canadiens*,80,35,40,5,,75,.469,0.06,0.17,4th of 5,Lost NHL Conference Finals,B. Berry (28-30-5) J. Lemaire (7-10-0),Adams,Prince of Wales
1982,NHL,Montreal Canadiens*,80,42,24,14,,98,.613,0.78,-0.02,2nd of 5,Lost NHL Division Semi-Finals,B. Berry (42-24-14),Adams,Prince of Wales
1981,NHL,Montreal Canadiens*,80,46,17,17,,109,.681,1.68,-0.04,1st of 5,Lost NHL Division Semi-Finals,B. Berry (46-17-17),Adams,Prince of Wales
1980,NHL,Montreal Canadiens*,80,45,22,13,,103,.644,1.19,-0.06,1st of 5,Lost NHL Preliminary Round,C. Ruel (45-22-13),Norris,Prince of Wales
1979,NHL,Montreal Canadiens*,80,47,20,13,,107,.669,1.05,-0.05,1st of 5,Lost NHL Quarter-Finals,B. Geoffrion (15-9-6) C. Ruel (32-11-7),Norris,Prince of Wales
1978,NHL,Montreal Canadiens*,80,52,17,11,,115,.719,1.53,-0.13,1st of 5,Won Stanley Cup Final,S. Bowman (52-17-11),Norris,Prince of Wales
1977,NHL,Montreal Canadiens*,80,59,10,11,,129,.806,2.06,-0.14,1st of 5,Won Stanley Cup Final,S. Bowman (59-10-11),Norris,Prince of Wales
1976,NHL,Montreal Canadiens*,80,60,8,12,,132,.825,2.54,-0.16,1st of 5,Won Stanley Cup Final,S. Bowman (60-8-12),Norris,Prince of Wales
1975,NHL,Montreal Canadiens*,80,58,11,11,,127,.794,1.91,-0.13,1st of 5,Won Stanley Cup Final,S. Bowman (58-11-11),Norris,Prince of Wales
1974,NHL,Montreal Canadiens*,80,47,14,19,,113,.706,1.72,-0.14,1st of 5,Lost NHL Semi-Finals,S. Bowman (47-14-19),Norris,Prince of Wales
1973,NHL,Montreal Canadiens*,78,45,24,9,,99,.635,0.65,-0.03,2nd of 8,Lost NHL Quarter-Finals,S. Bowman (45-24-9),East,
1972,NHL,Montreal Canadiens*,78,52,10,16,,120,.769,1.73,-0.13,1st of 8,Won Stanley Cup Final,S. Bowman (52-10-16),East,
1971,NHL,Montreal Canadiens*,78,46,16,16,,108,.692,1.21,-0.09,3rd of 7,Lost NHL Quarter-Finals,S. Bowman (46-16-16),East,
1970,NHL,Montreal Canadiens*,78,42,23,13,,97,.622,0.89,-0.07,3rd of 7,Won Stanley Cup Final,C. Ruel (11-8-4) A. MacNeil (31-15-9),East,
1969,NHL,Montreal Canadiens,76,38,22,16,,92,.605,0.60,0.03,5th of 6,,C. Ruel (38-22-16),East,
1968,NHL,Montreal Canadiens*,76,46,19,11,,103,.678,0.91,0.00,1st of 6,Won Stanley Cup Final,C. Ruel (46-19-11),East,
1967,NHL,Montreal Canadiens*,74,42,22,10,,94,.635,1.07,0.14,1st of 6,Won Stanley Cup Final,T. Blake (42-22-10),East,
1966,NHL,Montreal Canadiens*,70,32,25,13,,77,.550,0.17,-0.03,2nd of 6,Lost Stanley Cup Final,T. Blake (32-25-13),,
1965,NHL,Montreal Canadiens*,70,41,21,8,,90,.643,0.79,-0.16,1st of 6,Won Stanley Cup Final,T. Blake (41-21-8),,
1964,NHL,Montreal Canadiens*,70,36,23,11,,83,.593,0.31,-0.06,2nd of 6,Won Stanley Cup Final,T. Blake (36-23-11),,
1963,NHL,Montreal Canadiens*,70,36,21,13,,85,.607,0.50,-0.10,1st of 6,Lost NHL Semi-Finals,T. Blake (36-21-13),,
1962,NHL,Montreal Canadiens*,70,28,19,23,,79,.564,0.50,-0.10,3rd of 6,Lost NHL Semi-Finals,T. Blake (28-19-23),,
1961,NHL,Montreal Canadiens*,70,42,14,14,,98,.700,1.11,-0.22,1st of 6,Lost NHL Semi-Finals,T. Blake (42-14-14),,
1960,NHL,Montreal Canadiens*,70,41,19,10,,92,.657,0.79,-0.16,1st of 6,Lost NHL Semi-Finals,T. Blake (41-19-10),,
1959,NHL,Montreal Canadiens*,70,40,18,12,,92,.657,0.92,-0.18,1st of 6,Won Stanley Cup Final,T. Blake (40-18-12),,
1958,NHL,Montreal Canadiens*,70,39,18,13,,91,.650,1.19,-0.24,1st of 6,Won Stanley Cup Final,T. Blake (39-18-13),,
1957,NHL,Montreal Canadiens*,70,43,17,10,,96,.686,1.10,-0.22,1st of 6,Won Stanley Cup Final,T. Blake (43-17-10),,
1956,NHL,Montreal Canadiens*,70,35,23,12,,82,.586,0.66,-0.13,2nd of 6,Won Stanley Cup Final,T. Blake (35-23-12),,
1955,NHL,Montreal Canadiens*,70,45,15,10,,100,.714,1.08,-0.22,1st of 6,Won Stanley Cup Final,T. Blake (45-15-10),,
1954,NHL,Montreal Canadiens*,70,41,18,11,,93,.664,0.85,-0.17,2nd of 6,Lost Stanley Cup Final,D. Irvin (41-18-11),,
1953,NHL,Montreal Canadiens*,70,35,24,11,,81,.579,0.64,-0.13,2nd of 6,Lost Stanley Cup Final,D. Irvin (35-24-11),,
1952,NHL,Montreal Canadiens*,70,28,23,19,,75,.536,0.08,-0.02,2nd of 6,Won Stanley Cup Final,D. Irvin (28-23-19),,
1951,NHL,Montreal Canadiens*,70,34,26,10,,78,.557,0.37,-0.07,2nd of 6,Lost Stanley Cup Final,D. Irvin (34-26-10),,
1950,NHL,Montreal Canadiens*,70,25,30,15,,65,.464,-0.13,0.03,3rd of 6,Lost Stanley Cup Final,D. Irvin (25-30-15),,
1949,NHL,Montreal Canadiens*,70,29,22,19,,77,.550,0.26,-0.05,2nd of 6,Lost NHL Semi-Finals,D. Irvin (29-22-19),,
1948,NHL,Montreal Canadiens*,60,28,23,9,,65,.542,0.36,-0.07,3rd of 6,Lost NHL Semi-Finals,D. Irvin (28-23-9),,
1947,NHL,Montreal Canadiens,60,20,29,11,,51,.425,-0.31,0.06,5th of 6,,D. Irvin (20-29-11),,
1946,NHL,Montreal Canadiens*,60,34,16,10,,78,.650,0.71,-0.14,1st of 6,Lost Stanley Cup Final,D. Irvin (34-16-10),,
1945,NHL,Montreal Canadiens*,50,28,17,5,,61,.610,0.63,-0.13,1st of 6,Won Stanley Cup Final,D. Irvin (28-17-5),,
1944,NHL,Montreal Canadiens*,50,38,8,4,,80,.800,1.78,-0.36,1st of 6,Lost NHL Semi-Finals,D. Irvin (38-8-4),,
1943,NHL,Montreal Canadiens*,50,38,5,7,,83,.830,2.08,-0.42,1st of 6,Won Stanley Cup Final,D. Irvin (38-5-7),,
1942,NHL,Montreal Canadiens*,50,19,19,12,,50,.500,-0.17,0.03,4th of 6,Lost NHL Semi-Finals,D. Irvin (19-19-12),,
1941,NHL,Montreal Canadiens*,48,18,27,3,,39,.406,-0.70,0.12,6th of 7,Lost NHL Quarter-Finals,D. Irvin (18-27-3),,
1940,NHL,Montreal Canadiens*,48,16,26,6,,38,.396,-0.47,0.08,6th of 7,Lost NHL Quarter-Finals,D. Irvin (16-26-6),,
1939,NHL,Montreal Canadiens,48,10,33,5,,25,.260,-1.38,0.23,7th of 7,,P. Lépine (10-33-5),,
1938,NHL,Montreal Canadiens*,48,15,24,9,,39,.406,-0.55,0.09,6th of 7,Lost NHL Quarter-Finals,C. Hart (6-18-6) J. Dugal (9-6-3),,
1937,NHL,Montreal Canadiens*,48,18,17,13,,49,.510,-0.11,-0.01,3rd of 4,Lost NHL Quarter-Finals,C. Hart (18-17-13),Canadian,
1936,NHL,Montreal Canadiens*,48,24,18,6,,54,.563,0.06,-0.02,1st of 4,Lost NHL Semi-Finals,C. Hart (24-18-6),Canadian,
1935,NHL,Montreal Canadiens,48,11,26,11,,33,.344,-0.75,0.10,4th of 4,,S. Mantha (11-26-11),Canadian,
1934,NHL,Montreal Canadiens*,48,19,23,6,,44,.458,-0.65,0.08,3rd of 5,Lost NHL Quarter-Finals,N. Lalonde (5-8-3) L. Dandurand (14-15-3),Canadian,
1933,NHL,Montreal Canadiens*,48,22,20,6,,50,.521,-0.04,0.01,2nd of 5,Lost NHL Quarter-Finals,N. Lalonde (22-20-6),Canadian,
1932,NHL,Montreal Canadiens*,48,18,25,5,,41,.427,-0.43,0.05,3rd of 5,Lost NHL Quarter-Finals,N. Lalonde (18-25-5),Canadian,
1931,NHL,Montreal Canadiens*,48,25,16,7,,57,.594,0.30,-0.05,1st of 4,Lost NHL Semi-Finals,C. Hart (25-16-7),Canadian,
1930,NHL,Montreal Canadiens*,44,26,10,8,,60,.682,0.81,-0.10,1st of 5,Won Stanley Cup Final,C. Hart (26-10-8),Canadian,
1929,NHL,Montreal Canadiens*,44,21,14,9,,51,.580,0.58,-0.06,2nd of 5,Won Stanley Cup Final,C. Hart (21-14-9),Canadian,
1928,NHL,Montreal Canadiens*,44,22,7,15,,59,.670,0.59,-0.04,1st of 5,Lost NHL Semi-Finals,C. Hart (22-7-15),Canadian,
1927,NHL,Montreal Canadiens*,44,26,11,7,,59,.670,1.40,-0.14,1st of 5,Lost NHL Semi-Finals,C. Hart (26-11-7),Canadian,
1926,NHL,Montreal Canadiens*,44,28,14,2,,58,.659,0.67,-0.06,2nd of 5,Lost NHL Semi-Finals,C. Hart (28-14-2),Canadian,
1925,NHL,Montreal Canadiens,36,11,24,1,,23,.319,-0.69,0.11,7th of 7,,L. Dandurand (11-24-1),,
1924,NHL,Montreal Canadiens*,30,17,11,2,,36,.600,1.03,-0.21,3rd of 6,Won NHL Final,L. Dandurand (17-11-2),,
1923,NHL,Montreal Canadiens*,24,13,11,0,,26,.542,0.34,-0.12,2nd of 4,Won NHL Final,L. Dandurand (13-11-0),,
1922,NHL,Montreal Canadiens*,24,13,9,2,,28,.583,0.38,-0.13,2nd of 4,Lost NHL Final,L. Dandurand (13-9-2),,
1921,NHL,Montreal Canadiens,24,12,11,1,,25,.521,-0.19,0.06,3rd of 4,,N. Lalonde (2-5-0) L. Dandurand (10-6-1),,
1920,NHL,Montreal Canadiens,24,13,11,0,,26,.542,0.41,-0.14,3rd of 4,,N. Lalonde (13-11-0),,
1919,NHL,Montreal Canadiens,24,13,11,0,,26,.542,0.50,-0.17,2nd of 4,,N. Lalonde (13-11-0),,
1918,NHL,Montreal Canadiens*,18,10,8,0,,20,.556,0.37,-0.19,2nd of 3,Won NHL Final,N. Lalonde (10-8-0),,
1917,NHL,Montreal Canadiens*,22,13,9,0,,26,.591,1.07,-0.39,1st of 4,Lost NHL Final,N. Lalonde (13-9-0),,
