Year,Lg,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Playoffs,Coaches,Division,Conference
1959,NHL,Boston Bruins,70,28,34,8,,64,.457,-0.25,0.05,5th of 6,,M. Schmidt (28-34-8),,
1958,NHL,Boston Bruins*,70,32,29,9,,73,.521,-0.12,0.02,2nd of 6,Lost NHL Semi-Finals,M. Schmidt (32-29-9),,
1957,NHL,Boston Bruins*,70,27,28,15,,69,.493,0.06,-0.01,4th of 6,Lost Stanley Cup Final,M. Schmidt (27-28-15),,
1956,NHL,Boston Bruins*,70,34,24,12,,80,.571,0.25,-0.05,3rd of 6,Lost Stanley Cup Final,M. Schmidt (34-24-12),,
1955,NHL,Boston Bruins,70,23,34,13,,59,.421,-0.45,0.09,5th of 6,,M. Schmidt (23-34-13),,
1954,NHL,Boston Bruins*,70,23,26,21,,67,.479,-0.23,0.05,4th of 6,Lost NHL Semi-Finals,L. Patrick (10-14-6) M. Schmidt (13-12-15),,
1953,NHL,Boston Bruins*,70,32,28,10,,74,.529,-0.05,0.01,4th of 6,Lost NHL Semi-Finals,L. Patrick (32-28-10),,
1952,NHL,Boston Bruins*,70,28,29,13,,69,.493,-0.24,0.05,3rd of 6,Lost Stanley Cup Final,L. Patrick (28-29-13),,
1951,NHL,Boston Bruins*,70,25,29,16,,66,.471,-0.17,0.03,4th of 6,Lost NHL Semi-Finals,L. Patrick (25-29-16),,
1950,NHL,Boston Bruins*,70,22,30,18,,62,.443,-0.23,0.05,4th of 6,Lost NHL Semi-Finals,L. Patrick (22-30-18),,
1949,NHL,Boston Bruins,70,22,32,16,,60,.429,-0.36,0.07,5th of 6,,G. Boucher (22-32-16),,
1948,NHL,Boston Bruins*,60,29,23,8,,66,.550,0.21,-0.04,2nd of 6,Lost NHL Semi-Finals,D. Clapper (29-23-8),,
1947,NHL,Boston Bruins*,60,23,24,13,,59,.492,-0.02,0.00,3rd of 6,Lost NHL Semi-Finals,D. Clapper (23-24-13),,
1946,NHL,Boston Bruins*,60,26,23,11,,63,.525,0.21,-0.04,3rd of 6,Lost NHL Semi-Finals,D. Clapper (26-23-11),,
1945,NHL,Boston Bruins*,50,24,18,8,,56,.560,0.18,-0.04,2nd of 6,Lost Stanley Cup Final,D. Clapper (24-18-8),,
1944,NHL,Boston Bruins*,50,16,30,4,,36,.360,-0.67,0.13,4th of 6,Lost NHL Semi-Finals,A. Ross (16-30-4),,
1943,NHL,Boston Bruins,50,19,26,5,,43,.430,-0.75,0.15,5th of 6,,A. Ross (19-26-5),,
1942,NHL,Boston Bruins*,50,24,17,9,,57,.570,0.32,-0.06,2nd of 6,Lost Stanley Cup Final,A. Ross (24-17-9),,
1941,NHL,Boston Bruins*,48,25,17,6,,56,.583,0.75,-0.13,3rd of 7,Lost NHL Semi-Finals,A. Ross (25-17-6),,
1940,NHL,Boston Bruins*,48,27,8,13,,67,.698,1.18,-0.20,1st of 7,Won Stanley Cup Final,C. Weiland (27-8-13),,
1939,NHL,Boston Bruins*,48,31,12,5,,67,.698,1.29,-0.21,1st of 7,Lost NHL Semi-Finals,C. Weiland (31-12-5),,
1938,NHL,Boston Bruins*,48,36,10,2,,74,.771,1.43,-0.24,1st of 7,Won Stanley Cup Final,A. Ross (36-10-2),,
1937,NHL,Boston Bruins*,48,30,11,7,,67,.698,0.97,-0.14,1st of 4,Lost NHL Semi-Finals,A. Ross (30-11-7),American,
1936,NHL,Boston Bruins*,48,23,18,7,,53,.552,0.19,-0.02,2nd of 4,Lost NHL Quarter-Finals,A. Ross (23-18-7),American,
1935,NHL,Boston Bruins*,48,22,20,6,,50,.521,0.18,-0.01,2nd of 4,Lost NHL Quarter-Finals,F. Patrick (22-20-6),American,
1934,NHL,Boston Bruins*,48,26,16,6,,58,.604,0.31,-0.04,1st of 4,Lost NHL Semi-Finals,F. Patrick (26-16-6),American,
1933,NHL,Boston Bruins,48,18,25,5,,41,.427,-0.35,0.04,4th of 4,,A. Ross (18-25-5),American,
1932,NHL,Boston Bruins*,48,25,15,8,,58,.604,0.67,-0.08,1st of 4,Lost NHL Semi-Finals,A. Ross (25-15-8),American,
1931,NHL,Boston Bruins,48,15,21,12,,42,.438,0.09,-0.02,4th of 4,,A. Ross (15-21-12),American,
1930,NHL,Boston Bruins*,44,28,10,6,,62,.705,1.05,-0.15,1st of 5,Lost NHL Semi-Finals,A. Ross (28-10-6),American,
1929,NHL,Boston Bruins*,44,38,5,1,,77,.875,1.60,-0.24,1st of 5,Lost Stanley Cup Final,A. Ross (38-5-1),American,
1928,NHL,Boston Bruins*,44,26,13,5,,57,.648,0.71,-0.13,1st of 5,Won Stanley Cup Final,A. Ross (26-13-5),American,
1927,NHL,Boston Bruins*,44,20,13,11,,51,.580,0.10,-0.06,1st of 5,Lost NHL Semi-Finals,A. Ross (20-13-11),American,
1926,NHL,Boston Bruins*,44,21,20,3,,45,.511,0.13,-0.05,2nd of 5,Lost Stanley Cup Final,A. Ross (21-20-3),American,
1925,NHL,Boston Bruins,36,17,15,4,,38,.528,0.17,-0.03,4th of 7,,A. Ross (17-15-4),,
1924,NHL,Boston Bruins,30,6,24,0,,12,.200,-1.94,0.39,6th of 6,,A. Ross (6-24-0),,
