GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,
61,2026-03-05,8:00 PM,@,Nashville Predators,3,6,L,,34,22,5,L 1,17330,2:40,
62,2026-03-07,12:30 PM,,Washington Capitals,3,1,W,,35,22,5,W 1,17850,2:24,
63,2026-03-08,4:30 PM,@,Pittsburgh Penguins,4,5,L,OT,35,22,6,L 1,18029,2:39,
64,2026-03-10,7:00 PM,,Los Angeles Kings,2,1,W,OT,36,22,6,W 1,17850,2:31,
65,2026-03-12,7:00 PM,,San Jose Sharks,2,4,L,,36,23,6,L 1,17850,2:31,
66,2026-03-14,3:00 PM,@,Washington Capitals,3,2,W,SO,37,23,6,W 1,18347,2:54,
67,2026-03-16,7:00 PM,@,New Jersey Devils,3,4,L,OT,37,23,7,L 1,16034,2:51,
68,2026-03-17,7:00 PM,@,Montreal Canadiens,2,3,L,OT,37,23,8,L 2,20962,2:37,
69,2026-03-19,7:00 PM,,Winnipeg Jets,6,1,W,,38,23,8,W 1,17850,2:26,
70,2026-03-21,8:00 PM,@,Detroit Red Wings,4,2,W,,39,23,8,W 2,19515,2:29,
71,2026-03-24,7:00 PM,,Toronto Maple Leafs,2,4,L,,39,24,8,L 1,17850,2:38,
72,2026-03-25,7:30 PM,@,Buffalo Sabres,4,3,W,OT,40,24,8,W 1,19070,2:39,
73,2026-03-28,5:00 PM,,Minnesota Wild,6,3,W,,41,24,8,W 2,17850,2:30,
74,2026-03-29,5:00 PM,@,Columbus Blue Jackets,4,3,W,SO,42,24,8,W 3,18684,2:51,
75,2026-03-31,7:00 PM,,Dallas Stars,6,3,W,,43,24,8,W 4,17850,2:28,
76,2026-04-02,7:00 PM,@,Florida Panthers,1,2,L,,43,25,8,L 1,19823,2:30,
77,2026-04-04,5:00 PM,@,Tampa Bay Lightning,1,3,L,,43,26,8,L 2,19092,2:42,
78,2026-04-05,3:30 PM,@,Philadelphia Flyers,1,2,L,OT,43,26,9,L 3,19133,2:42,
79,2026-04-07,7:00 PM,@,Carolina Hurricanes,5,6,L,OT,43,26,10,L 4,18571,2:47,
80,2026-04-11,12:30 PM,,Tampa Bay Lightning,1,2,L,,43,27,10,L 5,17850,2:23,
81,2026-04-12,6:00 PM,@,Columbus Blue Jackets,3,2,W,,44,27,10,W 1,18532,2:30,
82,2026-04-14,7:00 PM,,New Jersey Devils,4,0,W,,45,27,10,W 2,17850,2:27,
